﻿機關名稱,視障按摩據點名稱,聯絡電話,地址,網址,最後更新日期
臺中市政府勞工局,204專業視障按摩,0910-525282,臺中市豐原區中正路1之1號2樓(臺鐵豐原車站售票亭對面204店位),https://spot.line.me/detail/1180915255899856005,20260306
臺中市政府勞工局,上好盲人專業按摩,04-23168888,臺中市北區德化街697號,https://spot.line.me/detail/758069827205076320,20260306
臺中市政府勞工局,上安視障按摩,0916-147235,臺中市后里區甲后路一段355巷39號,https://spot.line.me/detail/758069828522087796,20260306
臺中市政府勞工局,大台灣按摩中心,04-22773590,臺中市太平區東平路489號,https://spot.line.me/detail/758069829872653711,20260306
臺中市政府勞工局,大忙人視障按摩,04-22372218,臺中市北區梅亭東街41號,https://spot.line.me/detail/912388726338885869,20260306
臺中市政府勞工局,大肚按摩站,04-26992758,臺中市大肚區沙田路3段71號,https://spot.line.me/detail/758069827758724466,20260306
臺中市政府勞工局,大拇師傅視障按摩,04-26310207,臺中市龍井區遊園南路91號,https://spot.line.me/detail/758069830430496147,20260306
臺中市政府勞工局,大蒼視障按摩,04-26888837,臺中市大甲區興安路1之2號,https://spot.line.me/detail/758069826852754774,20260306
臺中市政府勞工局,中市盲協視障按摩便利站（中國急重樓站）,,臺中市北區學士路2號(地下室一樓7-11便利商店前),https://spot.line.me/detail/758069828975072636,20260306
臺中市政府勞工局,中市盲協視障按摩便利站（慈濟大愛站）,,臺中市潭子區豐興路1段88號(大愛樓地下一樓電扶梯旁),https://spot.line.me/detail/758069826882114903,20260306
臺中市政府勞工局,中市盲協視障按摩便利站（榮總新門診站）,04-23592525#2982,臺中市西屯區臺灣大道4段1650號,https://spot.line.me/detail/758069828878603642,20260306
臺中市政府勞工局,中華啟明視障按摩便利站-家樂福西屯店,,臺中市西屯區臺灣大道4段1086號(2樓電梯旁),https://spot.line.me/detail/758069830514382228,20260306
臺中市政府勞工局,今日按摩中心（光復店）,04-22213960,臺中市中區光復路60之6號,https://spot.line.me/detail/758069827205076321,20260306
臺中市政府勞工局,今日按摩中心（遼陽店）,04-24373639,臺中市北屯區遼陽五街70號,https://spot.line.me/detail/758069829121873280,20260306
臺中市政府勞工局,心光精緻按摩館,04-24525260,臺中市西屯區西屯路二段249之9巷3弄1號,https://spot.line.me/detail/1328471823922240824,20260306
臺中市政府勞工局,文勝按摩健康中心,04-25268266,臺中市豐原區社皮路118巷9號,https://spot.line.me/detail/758069827641283951,20260306
臺中市政府勞工局,巧手視障按摩工作室,04-23125512,臺中市西屯區合江街74之1號,https://spot.line.me/detail/912388726221445356,20260306
臺中市政府勞工局,弘安視障按摩養生中心,04-24524983,臺中市西屯區西安街197號,https://spot.line.me/detail/758069827666449776,20260306
臺中市政府勞工局,永康按摩中心,04-25206767,臺中市豐原區永康路255號,https://spot.line.me/detail/758069827205076319,20260306
臺中市政府勞工局,玉山健康按摩中心,04-25248610,臺中市豐原區和平街45巷27號,https://spot.line.me/detail/758069829209953666,20260306
臺中市政府勞工局,白有東按摩工作室,04-23395567,臺中市霧峰區育德路26巷27號,https://spot.line.me/detail/758069826991166811,20260306
臺中市政府勞工局,白金青池足體按摩館,04-24523030,臺中市西屯區上石路109號,https://spot.line.me/detail/761273824929913992,20260306
臺中市政府勞工局,禾軒經穴視障按摩館,04-25567566,臺中市后里區甲后路一段355巷31號,https://spot.line.me/detail/761273825001217162,20260306
臺中市政府勞工局,立大按摩,04-25255659,臺中市豐原區育英路177巷3號,https://spot.line.me/detail/758069826496238925,20260306
臺中市政府勞工局,立安視障按摩-中山店,04-22266758,臺中市中區中山路293號,https://spot.line.me/detail/758069828702442872,20260306
臺中市政府勞工局,立新視障經絡按摩,0930-870322,臺中市大里區立新街278號,https://spot.line.me/detail/1102263106387582140,20260306
臺中市政府勞工局,伊甸視障按摩-LaLaport站,04-22153853,臺中市東區進德路700號(南館B1F),https://spot.line.me/detail/1102263105833934008,20260306
臺中市政府勞工局,吉祥按摩,04-25236662,臺中市豐原區圓環北路二段223巷16弄7號,https://spot.line.me/detail/1102263105955568825,20260306
臺中市政府勞工局,安泰按摩之家,0918-886060,臺中市西區向上路1段11號,https://spot.line.me/detail/758069829730047371,20260306
臺中市政府勞工局,安泰復健按摩,04-25560659,臺中市后里區文明路6號,https://spot.line.me/detail/758069829679715722,20260306
臺中市政府勞工局,百利按摩,04-22234178,臺中市中區光復路32號3樓,https://spot.line.me/detail/767794036210671459,20260306
臺中市政府勞工局,自立經穴按摩工作室,04-23824422,臺中市南屯區萬安街120號,https://spot.line.me/detail/758069827339294054,20260306
臺中市政府勞工局,自然甦活視障養身棧-大聖店,04-23295353,臺中市南屯區大聖街32號,https://spot.line.me/detail/758069829134456193,20260306
臺中市政府勞工局,自然甦活視障養身棧-河北店,04-22323209,臺中市北屯區河北路2段66號,https://spot.line.me/detail/441002851255195416,20260306
臺中市政府勞工局,佑康視障專業按摩中心,04-25686402,臺中市大雅區雅環路1段271巷55號,https://spot.line.me/detail/758069829797156236,20260306
臺中市政府勞工局,秀明按摩之家,04-22214769,臺中市中區中華西街61號,https://spot.line.me/detail/758069827741947249,20260306
臺中市政府勞工局,良沅理療保健館,0937-737127,臺中市大安區中庄里中山南路522號,https://spot.line.me/detail/758069829851682189,20260306
臺中市政府勞工局,奇哥按摩館,04-26528027,臺中市龍井區新興路40之12號,https://spot.line.me/detail/912388726221445355,20260306
臺中市政府勞工局,尚信健康按摩,0911-763892,臺中市大雅區平和南路168號,https://spot.line.me/detail/912388727874001135,20260306
臺中市政府勞工局,帕拉馬視障按摩?木站,04-25202835,臺中市豐原區豐勢路一段432號(?木保齡球館裡面),https://spot.line.me/detail/1328471824140344633,20260306
臺中市政府勞工局,明月按摩工作室,04-22230666,臺中市北區中山路424號,https://spot.line.me/detail/758069827406402919,20260306
臺中市政府勞工局,東帝視障按摩,04-27070056,臺中市西屯區黎明路3段487號,https://spot.line.me/detail/758069826617873744,20260306
臺中市政府勞工局,松田養生館,04-23828878,臺中市南屯區向上路2段429號,https://spot.line.me/detail/912388726347278722,20260306
臺中市政府勞工局,松盈視障按摩,04-24832122,臺中市大里區大里路102之3號,https://spot.line.me/detail/758069829566469513,20260306
臺中市政府勞工局,松哥經絡按摩,0986-5915910921-391838,臺中市大里區國中路376號,https://spot.line.me/detail/1180915254775782529,20260306
臺中市政府勞工局,欣天堂視障按摩,0908-513557,臺中市北區漢口路5段98號1樓,https://spot.line.me/detail/1102263105544527031,20260306
臺中市政府勞工局,欣揚按摩中心,04-22491938,臺中市北屯區崇德路2段273號,https://spot.line.me/detail/758069829105096063,20260306
臺中市政府勞工局,欣雲按摩,0982-051237,臺中市西區健行路1049號3F(第六市場G2攤位),https://spot.line.me/detail/912388727953692912,20260306
臺中市政府勞工局,盲裡偷閒專業視障按摩,0910-721496董姐0916-905852董嫂,臺中市霧峰區萊園路9巷6號,https://spot.line.me/detail/758069827205076323,20260306
臺中市政府勞工局,盲裡偷閒專業視障按摩(成功店),0965-597009,臺中市大里區成功路533號,https://spot.line.me/detail/1180915254624787584,20260306
臺中市政府勞工局,直心視障按摩,0963-046418,臺中市神岡區社口街499巷18號,https://spot.line.me/detail/912388727324547310,20260306
臺中市政府勞工局,非凡視障經絡專業按摩,04-24524578,臺中市西屯區寶慶街30巷28號1樓,https://spot.line.me/detail/758069827339294052,20260306
臺中市政府勞工局,俊福健康按摩中心,04-26351882,臺中市龍井區沙田路5段30巷15號,https://spot.line.me/detail/1102263105410309302,20260306
臺中市政府勞工局,信安按摩中一店,04-24711998,臺中市西區向上路1段357號,https://spot.line.me/detail/767794666518093672,20260306
臺中市政府勞工局,信安按摩中二店,04-23275050,臺中市西區精誠路130之3號(近大業路),https://spot.line.me/detail/767794666497122151,20260306
臺中市政府勞工局,信安按摩中八店,04-22436100,臺中市北屯區大連路3段5號(昌平路口),https://spot.line.me/detail/767794666446790500,20260306
臺中市政府勞工局,信安按摩中五店,04-26319157,臺中市龍井區新興路96之11號(近遊園南路),https://spot.line.me/detail/767794666484539238,20260306
臺中市政府勞工局,信安按摩中四店,04-22208497,臺中市南區台中路32號(近復興路),https://spot.line.me/detail/767794666467762021,20260306
臺中市政府勞工局,巷口按摩,04-22470396,臺中市北屯區安順東十街77號,https://spot.line.me/detail/761273824808282585,20260306
臺中市政府勞工局,按藏玄肌視障按摩,04-24861311,臺中市大里區大里路8號,https://spot.line.me/detail/758069826991166810,20260306
臺中市政府勞工局,活力舒壓按摩館,04-25687257,臺中市大雅區神林路1段9巷9號,https://spot.line.me/detail/758069826785645907,20260306
臺中市政府勞工局,海線視障按摩,04-26883022,臺中市大甲區興安路35之7號,https://spot.line.me/detail/758069828907963771,20260306
臺中市政府勞工局,真豪養生按摩,04-27065995,臺中市西屯區福星路397號,https://spot.line.me/detail/758069827456734569,20260306
臺中市政府勞工局,真輕鬆視障按摩館,0909-888737,臺中市中區臺灣大道1段540號,https://spot.line.me/detail/758069830514382229,20260306
臺中市政府勞工局,袁師傅經絡按摩,04-26563499,臺中市梧棲區臺灣大道8段175號,https://spot.line.me/detail/758069830187226514,20260306
臺中市政府勞工局,健康家專業按摩坊,04-25811494,臺中市新社區中和街4段323號,https://spot.line.me/detail/761273824997022857,20260306
